Local,Resultado,Visitante,Link
CBI ELCHE X MAXIWATT,83-79,RIGALLI ALGINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415176
REAL MURCIA BALONCESTO,68-100,UCAM MURCIA JUVER C.B.,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415178
SERVIGROUP BENIDORM,97-66,CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415179
LUCENTUM ALICANTE,59-65,ADESAVI A,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415180
ESET ONTINET,83-72,SERCOMOSA MOLINA BASKET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415181
DENIA BASQUET,62-70,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415182
C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,70-80,CBI ELCHE X MAXIWATT,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415183
SERCOMOSA MOLINA BASKET,89-62,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415184
ADESAVI A,67-91,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415185
SERVIGROUP BENIDORM,66-58,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415186
UCAM MURCIA JUVER C.B.,64-77,CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415187
KLINIK · PM CAROLINAS,82-65,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415188
REAL MURCIA BALONCESTO,59-97,RIGALLI ALGINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415191
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,87-51,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415192
LUCENTUM ALICANTE,73-93,UCAM MURCIA JUVER C.B.,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415193
ESET ONTINET,77-80,SERVIGROUP BENIDORM,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415194
DENIA BASQUET,89-65,ADESAVI A,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415195
C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,58-73,SERCOMOSA MOLINA BASKET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415196
SERCOMOSA MOLINA BASKET,87-82,CBI ELCHE X MAXIWATT,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415197
ADESAVI A,Por determinar,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415198
DENIA BASQUET,53-73,SERVIGROUP BENIDORM,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415199
UCAM MURCIA JUVER C.B.,96-95,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415200
KLINIK · PM CAROLINAS,78-46,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415201
RIGALLI ALGINET,Por determinar,CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415202
CBI ELCHE X MAXIWATT,97-76,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415204
LUCENTUM ALICANTE,Por determinar,RIGALLI ALGINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415206
ESET ONTINET,JUEVES 19/12/2024 20:30,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415207
