inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,7,SANCHEZ RODRIGUEZ_ PABLO JOSE,15.016666666666667,9,4,3,7,2,0,3,0,0,0,2,2,12,7.0,951421,1516866,3,3,3,5,0,1
1,8,CADME ARIAS_ GREGORY RENE,20.33333333333333,15,4,3,7,0,0,4,0,0,0,2,6,13,24.0,951421,1767254,4,8,4,6,1,4
0,9,IBAÑEZ RUIZ_ JOSE,13.966666666666669,3,0,0,0,0,3,0,0,0,0,0,3,6,2.0,951421,1998643,0,2,0,0,1,2
0,10,LÓPEZ MARTINEZ_ ALVARO,17.966666666666665,7,1,1,2,0,2,2,0,0,0,3,1,1,7.0,951421,1895175,1,3,0,1,2,5
0,11,GONZALEZ LÓPEZ_ JUAN,15.066666666666666,5,0,2,2,0,1,1,0,0,0,4,1,2,15.0,951421,1766977,0,0,1,1,1,3
0,12,MARTÍNEZ-QUINTANILLA JIMÉNEZ_ RAMIRO ENRIQUE,19.566666666666663,8,3,5,8,0,0,2,0,0,0,4,5,8,6.0,951421,1514342,3,6,1,2,1,4
1,13,PARRA GOMEZ_ PABLO,13.483333333333333,5,3,2,5,0,0,0,0,1,0,5,0,-2,5.0,951421,2133764,0,0,1,4,1,5
1,16,LORCA AGUILAR_ JOSE MANUEL,24.98333333333333,10,1,6,7,0,1,1,2,0,0,2,4,18,20.0,951421,1736001,2,2,4,6,0,1
0,17,CRUZ MARTINEZ_ JORGE,18.48333333333333,10,0,3,3,3,0,1,0,0,0,1,3,9,22.0,951421,1827474,2,4,1,1,2,8
1,26,LUGO NITSCHE_ ANGEL MANUEL,15.133333333333333,10,2,1,3,0,1,0,0,0,0,3,0,7,20.0,951421,2334582,1,1,0,2,3,5
1,77,CASCALES FERNANDEZ_ JUAN,17.3,5,2,1,3,0,0,0,0,0,0,3,0,5,9.0,951421,1899744,0,0,1,1,1,1
0,81,YEPES CALERO_ GERMAN,8.7,2,0,0,0,1,0,0,0,0,0,2,1,2,-2.0,951421,1595850,0,0,1,1,0,0
1,3,VIVES HURTADO_ ADRIA,20.966666666666665,5,0,2,2,1,0,0,0,0,0,3,4,2,-18.0,950772,2144599,3,4,1,4,0,3
0,5,SADOKI_ SOUFYANE,23.7,7,2,4,6,1,3,5,0,0,0,5,2,5,-15.0,950772,1790780,1,2,3,3,0,3
0,6,ZAPATA SERRA_ JOSE ANGEL,8.416666666666666,0,0,1,1,0,0,0,0,0,0,1,1,-2,-13.0,950772,2182582,0,0,0,3,0,0
1,8,GARCIA STURGESS_ RICHARD,19.3,5,1,3,4,1,1,1,0,0,0,5,2,2,-16.0,950772,1995391,3,4,1,5,0,0
1,9,OTS MUT_ IGNACIO,36.03333333333333,12,1,3,4,0,1,3,0,1,0,1,5,7,-25.0,950772,1879097,1,6,4,6,1,5
0,20,SOLER MANZANO_ JORDI,13.016666666666667,3,0,0,0,0,0,0,0,0,0,3,2,0,-8.0,950772,1616508,1,2,1,2,0,0
1,30,ALEXANDROV_ IVAN,35.333333333333336,17,1,6,7,0,1,1,0,1,0,1,9,24,-21.0,950772,2021759,7,9,5,7,0,4
0,34,CLIMENT FIGUERES_ JORGE,24.933333333333334,7,1,0,1,0,0,0,1,0,0,3,2,4,-16.0,950772,2034816,2,4,1,1,1,3
1,35,PEREZ PALOMARES_ ADRIAN,18.3,6,2,0,2,0,2,2,0,0,0,5,3,1,-3.0,950772,1794542,1,2,1,2,1,4
